,Evaluation_vector.csv,Graduate_vector.csv,Portrait_vector.csv,Scholarship_vector.csv,Tags_vector.csv,atten_vector_data.xlsx,dorm_vector_data.xlsx,run_vector_data.xlsx,student_behavior_vector.xlsx,体测数据_特征轨迹_vector.xlsx,体育课_特征向量_vector.xlsx,体能_vector_variable.csv,作业提交_vector_composite.csv,四六级_特征向量_vector.xlsx,图书馆_特征轨迹_vector.xlsx,基本信息_vector_variable.csv,学生签到_特征向量.csv,学科竞赛_vector_composite.csv,学籍异动_vector_composite.csv,成绩_vector_variable.csv,日常锻炼_vector.xlsx,社团活动_特征向量_vector.xlsx,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,选课_vector_variable.csv,cluster
pjwqzwbj998,-0.9091042867697555,0.12433988539585653,-0.04599818891721617,-0.03600858586937225,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-2.381060472875461,0.6654235478183337,-1.7543378133963912,-0.41584837368989924,-1.6353127517928796,-1.1352704560793172,0.32385108460516737,-0.47939191112537816,0.5751058790451136,0.576343358836183,-0.613131532665435,-0.023112033126248908,-0.028074454456642067,1.8133777661260615,0.47574025779143764,0.5552533962619757,0.3319813605289063,-0.20230630353891763,3
pjwrqxbj882,-1.165701338787911,0.12822861655550746,0.5686812238203259,0.6335637060213304,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,1.6224242914029527,0.036056045866265055,-0.861382051598421,0.6648164248589261,-0.3976020699651623,0.36610308797635843,-0.47939191112537816,-0.612452561573474,1.1352285390617622,0.681466483740603,-0.023112033126248908,0.7878665613498408,0.0034044881649737137,0.41876851392702186,1.1951922961488595,0.6636196954391852,-0.6786411981874196,3
pjwrqxbj884,-1.2390147822216697,0.13600607887481195,0.23121017368991065,0.6335637060213304,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,-0.4829773444832094,-0.41154241894939897,-0.12756187621967957,0.6648164248589261,0.2575149239781824,0.45868192202967956,-0.47939191112537816,1.0398026601567352,0.017458178610604624,1.466071342168505,-0.020003241186571905,1.0319267943963826,-0.5596983094229204,0.41876851392702186,-0.9379373701407534,0.36215278249688093,-0.5348454161934181,3
pjwrqxbj890,-1.4222983908060667,0.13989481003446289,2.7611473644403293,1.3031359979120332,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.8643998869700078,1.431024142686029,-0.41154241894939897,-0.9137977784111881,0.6648164248589261,0.7061975696493333,0.4507948814003906,1.9471037461069371,-0.973883391326958,-0.5064966778508758,2.250676200596406,-0.019980298982922487,0.8226443751383133,-1.348042226045972,0.47574025779143764,-0.9379373701407534,0.39232420446485555,-0.054725121203537744,3
pjwrqxbj898,1.326955737959885,0.12433988539585653,-0.8699534801447236,-1.040367023705426,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,-0.007514836570565965,-0.10017704704936173,0.4836545106819291,-0.1537697396260631,0.08978413069597467,1.1314014383440676,-1.4191848944677032,-0.47939191112537816,2.124095149417186,0.9256465964771698,-0.613131532665435,-0.023112033126248908,-0.7395750202398956,-0.2947087576168525,-2.031016472242844,1.1951922961488595,0.2716385165929571,-0.5241124330136562,3
pjwrqxbj901,0.8137616339235744,0.12822861655550746,-0.40757431405694683,-1.040367023705426,-1.963858522909727,1.7748788721629434,-0.039726706583261565,-0.5887913189309485,-1.057177790633981,0.9312529754975931,0.7110897527845965,0.6648164248589261,-0.4398213404862521,-1.5938265084019596,-0.47939191112537816,1.814297295342771,-0.19212376397398767,-0.613131532665435,0.05230528087361339,-1.8863513876384486,0.5101970059940787,0.30482502619819074,1.1951922961488595,0.5429340075672867,-0.8789251101385988,3
pjwrqxbj905,1.6935229551286786,0.12822861655550746,0.4021370692105106,-1.040367023705426,-0.5599396531663435,2.7235798893203533,-0.039726706583261565,-1.3638266287447915,-0.4829773444832094,0.4836545106819291,0.2655560748760748,-1.6353127517928796,-0.16802176991463197,0.23915929118113516,-0.47939191112537816,1.814297295342771,-1.0304515343123561,-0.613131532665435,0.05230528087361339,-1.8639417400212286,1.5871311063809252,0.3617967700626066,1.1951922961488595,0.4224956264328302,-1.5478391027057992,3
pjwrqxbj911,0.3005675298872632,0.12822861655550746,-0.9422687051726697,-0.03600858586937225,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,-0.7825501463844091,0.6654235478183337,0.4836545106819291,-0.7041348711601192,0.6648164248589261,1.0826145875146236,0.0063038059354595544,2.0564721523534666,2.124095149417186,0.8208556251848743,0.681466483740603,-0.023112033126248908,-0.5848342064187126,0.5368702964061368,0.532712001655853,1.1951922961488595,0.513009892336754,-0.6046114220258958,3
pjwrqxbj913,0.4838511384716601,0.12433988539585653,1.4824827037189179,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.04092487029279907,0.4740233991014099,-0.41154241894939897,0.08210103103138953,0.6648164248589261,0.3831218021590601,0.024894687418783677,-0.47939191112537816,1.814297295342771,0.3318310924874925,-0.613131532665435,-0.023112033126248908,-0.7148248094270989,-0.1373712112319998,0.532712001655853,1.1951922961488595,0.513009892336754,-1.3911611713952863,3
pjwrqxbj916,-0.945761008486635,0.12822861655550746,-0.07777306052040463,1.637922143857384,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.7675204732432778,-0.4829773444832094,1.3788514403132572,-1.3855393197260937,0.6648164248589261,-0.32523990860370466,0.46393994911587166,-0.47939191112537816,-0.04448982910371471,-0.017472145153494285,2.446827415203382,-0.021777684959155358,0.575721897240155,-0.1456521347259394,0.7036272332490993,0.5552533962619757,0.513009892336754,-0.8887131855879518,3
